价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
4799,//item.jd.com/10036795782396.html,联想（Lenovo）Ideapad 15s,1.5-2kg,none,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,8GB,512GB,MX350
,,,,,,,,,,,,
6999,//item.jd.com/100013847351.html,华为MateBook 13,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
9969,//item.jd.com/100009641633.html,ThinkPadX1 Nano,小于1kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
5899,//item.jd.com/100021764540.html,神舟Z7T-TA5NS,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,Intel i5,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
9499,//item.jd.com/100009464821.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,8GB,256GB,none
,,,,,,,,,,,,
4699,//item.jd.com/100024680722.html,联想扬天 S15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
5499,//item.jd.com/100025776788.html,华硕VivoBook 15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,45%NTSC,Windows 10 不带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
6499,//item.jd.com/100023485336.html,宏碁传奇,none,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,其他,AMD R7,16GB,512GB,RTX3050
,,,,,,,,,,,,
5499,//item.jd.com/100011483891.html,ThinkPadThinkBook 14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
5999,//item.jd.com/100019549498.html,联想小新Pro,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
